hlpi_name,series_ref,date,quarter,hlpi,nzhec,nzhec_name,nzhec_short,level,index,change.q,change.a
Expenditure quintile 2,HPIQ.SEQ2073,2010/4,2010Q2,expq2,7.3,Passenger transport services,Passenger transport,subgroup,892,-0.3,6.4
Expenditure quintile 3,HPIQ.SEQ3073,2010/4,2010Q2,expq3,7.3,Passenger transport services,Passenger transport,subgroup,909,-0.3,6.2
Expenditure quintile 4,HPIQ.SEQ4073,2010/4,2010Q2,expq4,7.3,Passenger transport services,Passenger transport,subgroup,935,0,8.8
Expenditure quintile 5 (high),HPIQ.SEQ5073,2010/4,2010Q2,expq5,7.3,Passenger transport services,Passenger transport,subgroup,928,0.3,6.4
M\u0101ori,HPIQ.SMAO073,2010/4,2010Q2,maori,7.3,Passenger transport services,Passenger transport,subgroup,885,-0.2,2
Superannuitant,HPIQ.SSUP073,2010/4,2010Q2,super,7.3,Passenger transport services,Passenger transport,subgroup,871,-0.8,5.7
All households,HPIQ.SALL08,2010/4,2010Q2,allhh,8,Communication,Communication,group,1162,-0.3,-1.8
Beneficiary,HPIQ.SBEN08,2010/4,2010Q2,benef,8,Communication,Communication,group,1135,-0.3,-1.9
Income quintile 1 (low),HPIQ.SIQ108,2010/4,2010Q2,disq1,8,Communication,Communication,group,1067,0,-1
Income quintile 2,HPIQ.SIQ208,2010/4,2010Q2,disq2,8,Communication,Communication,group,1126,-0.2,-1.3
Income quintile 3,HPIQ.SIQ308,2010/4,2010Q2,disq3,8,Communication,Communication,group,1190,-0.3,-1.5
Income quintile 4,HPIQ.SIQ408,2010/4,2010Q2,disq4,8,Communication,Communication,group,1231,-0.6,-2.5
Income quintile 5 (high),HPIQ.SIQ508,2010/4,2010Q2,disq5,8,Communication,Communication,group,1247,-0.6,-2.6
Expenditure quintile 1 (low),HPIQ.SEQ108,2010/4,2010Q2,expq1,8,Communication,Communication,group,1055,0,-1.2
Expenditure quintile 2,HPIQ.SEQ208,2010/4,2010Q2,expq2,8,Communication,Communication,group,1141,-0.2,-1.1
Expenditure quintile 3,HPIQ.SEQ308,2010/4,2010Q2,expq3,8,Communication,Communication,group,1196,-0.3,-1.6
Expenditure quintile 4,HPIQ.SEQ408,2010/4,2010Q2,expq4,8,Communication,Communication,group,1244,-0.6,-2.7
Expenditure quintile 5 (high),HPIQ.SEQ508,2010/4,2010Q2,expq5,8,Communication,Communication,group,1272,-0.6,-2.5
M\u0101ori,HPIQ.SMAO08,2010/4,2010Q2,maori,8,Communication,Communication,group,1174,-0.4,-2.2
Superannuitant,HPIQ.SSUP08,2010/4,2010Q2,super,8,Communication,Communication,group,1021,0.1,-0.5
All households,HPIQ.SALL081,2010/4,2010Q2,allhh,8.1,Postal services,Postal services,subgroup,870,0,3.8
Beneficiary,HPIQ.SBEN081,2010/4,2010Q2,benef,8.1,Postal services,Postal services,subgroup,855,0,4.1
Income quintile 1 (low),HPIQ.SIQ1081,2010/4,2010Q2,disq1,8.1,Postal services,Postal services,subgroup,869,0,4.1
Income quintile 2,HPIQ.SIQ2081,2010/4,2010Q2,disq2,8.1,Postal services,Postal services,subgroup,874,0,3.9
Income quintile 3,HPIQ.SIQ3081,2010/4,2010Q2,disq3,8.1,Postal services,Postal services,subgroup,870,0,3.8
Income quintile 4,HPIQ.SIQ4081,2010/4,2010Q2,disq4,8.1,Postal services,Postal services,subgroup,871,0,3.4
Income quintile 5 (high),HPIQ.SIQ5081,2010/4,2010Q2,disq5,8.1,Postal services,Postal services,subgroup,867,0,4
Expenditure quintile 1 (low),HPIQ.SEQ1081,2010/4,2010Q2,expq1,8.1,Postal services,Postal services,subgroup,878,0,4
Expenditure quintile 2,HPIQ.SEQ2081,2010/4,2010Q2,expq2,8.1,Postal services,Postal services,subgroup,868,0,4
Expenditure quintile 3,HPIQ.SEQ3081,2010/4,2010Q2,expq3,8.1,Postal services,Postal services,subgroup,870,0,3.8
Expenditure quintile 4,HPIQ.SEQ4081,2010/4,2010Q2,expq4,8.1,Postal services,Postal services,subgroup,871,0,3.8
Expenditure quintile 5 (high),HPIQ.SEQ5081,2010/4,2010Q2,expq5,8.1,Postal services,Postal services,subgroup,864,0,3.5
M\u0101ori,HPIQ.SMAO081,2010/4,2010Q2,maori,8.1,Postal services,Postal services,subgroup,864,0,4
Superannuitant,HPIQ.SSUP081,2010/4,2010Q2,super,8.1,Postal services,Postal services,subgroup,875,0,3.9
All households,HPIQ.SALL082,2010/4,2010Q2,allhh,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3037,-4.3,-15.5
Beneficiary,HPIQ.SBEN082,2010/4,2010Q2,benef,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3464,-4.3,-15.2
Income quintile 1 (low),HPIQ.SIQ1082,2010/4,2010Q2,disq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3030,-3.1,-11.2
Income quintile 2,HPIQ.SIQ2082,2010/4,2010Q2,disq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2656,-4.2,-14.9
Income quintile 3,HPIQ.SIQ3082,2010/4,2010Q2,disq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3325,-4.9,-17.1
Income quintile 4,HPIQ.SIQ4082,2010/4,2010Q2,disq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3328,-4.3,-15.5
Income quintile 5 (high),HPIQ.SIQ5082,2010/4,2010Q2,disq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3134,-4.7,-16.6
Expenditure quintile 1 (low),HPIQ.SEQ1082,2010/4,2010Q2,expq1,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3426,-4.1,-14.8
Expenditure quintile 2,HPIQ.SEQ2082,2010/4,2010Q2,expq2,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2573,-3.1,-11.4
Expenditure quintile 3,HPIQ.SEQ3082,2010/4,2010Q2,expq3,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3063,-4.8,-16.8
Expenditure quintile 4,HPIQ.SEQ4082,2010/4,2010Q2,expq4,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2875,-4.4,-15.6
Expenditure quintile 5 (high),HPIQ.SEQ5082,2010/4,2010Q2,expq5,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3290,-4.5,-16.1
M\u0101ori,HPIQ.SMAO082,2010/4,2010Q2,maori,8.2,Telecommunication equipment,Telecommunication equip,subgroup,3322,-4.6,-16.2
Superannuitant,HPIQ.SSUP082,2010/4,2010Q2,super,8.2,Telecommunication equipment,Telecommunication equip,subgroup,2243,-2.9,-10.3
All households,HPIQ.SALL083,2010/4,2010Q2,allhh,8.3,Telecommunication services,Telecommunication services,subgroup,1144,-0.2,-1.4
Beneficiary,HPIQ.SBEN083,2010/4,2010Q2,benef,8.3,Telecommunication services,Telecommunication services,subgroup,1085,0,-0.9
Income quintile 1 (low),HPIQ.SIQ1083,2010/4,2010Q2,disq1,8.3,Telecommunication services,Telecommunication services,subgroup,1061,0,-1.1
Income quintile 2,HPIQ.SIQ2083,2010/4,2010Q2,disq2,8.3,Telecommunication services,Telecommunication services,subgroup,1101,0,-0.9
Income quintile 3,HPIQ.SIQ3083,2010/4,2010Q2,disq3,8.3,Telecommunication services,Telecommunication services,subgroup,1177,-0.3,-1.4
Income quintile 4,HPIQ.SIQ4083,2010/4,2010Q2,disq4,8.3,Telecommunication services,Telecommunication services,subgroup,1201,-0.2,-1.6
Income quintile 5 (high),HPIQ.SIQ5083,2010/4,2010Q2,disq5,8.3,Telecommunication services,Telecommunication services,subgroup,1232,-0.4,-1.8
Expenditure quintile 1 (low),HPIQ.SEQ1083,2010/4,2010Q2,expq1,8.3,Telecommunication services,Telecommunication services,subgroup,1042,0,-1
Expenditure quintile 2,HPIQ.SEQ2083,2010/4,2010Q2,expq2,8.3,Telecommunication services,Telecommunication services,subgroup,1132,-0.1,-1.2
Expenditure quintile 3,HPIQ.SEQ3083,2010/4,2010Q2,expq3,8.3,Telecommunication services,Telecommunication services,subgroup,1169,-0.2,-1.3
Expenditure quintile 4,HPIQ.SEQ4083,2010/4,2010Q2,expq4,8.3,Telecommunication services,Telecommunication services,subgroup,1229,-0.3,-1.8
Expenditure quintile 5 (high),HPIQ.SEQ5083,2010/4,2010Q2,expq5,8.3,Telecommunication services,Telecommunication services,subgroup,1257,-0.3,-1.7
M\u0101ori,HPIQ.SMAO083,2010/4,2010Q2,maori,8.3,Telecommunication services,Telecommunication services,subgroup,1152,-0.2,-1.5
Superannuitant,HPIQ.SSUP083,2010/4,2010Q2,super,8.3,Telecommunication services,Telecommunication services,subgroup,1020,0.2,-0.6
All households,HPIQ.SALL09,2010/4,2010Q2,allhh,9,Recreation and culture,Recreation and culture,group,1005,-0.7,-0.6
Beneficiary,HPIQ.SBEN09,2010/4,2010Q2,benef,9,Recreation and culture,Recreation and culture,group,1045,-0.8,-1.8
Income quintile 1 (low),HPIQ.SIQ109,2010/4,2010Q2,disq1,9,Recreation and culture,Recreation and culture,group,972,-0.5,-0.3
Income quintile 2,HPIQ.SIQ209,2010/4,2010Q2,disq2,9,Recreation and culture,Recreation and culture,group,986,-0.8,-0.8
Income quintile 3,HPIQ.SIQ309,2010/4,2010Q2,disq3,9,Recreation and culture,Recreation and culture,group,1026,-0.3,-0.3
Income quintile 4,HPIQ.SIQ409,2010/4,2010Q2,disq4,9,Recreation and culture,Recreation and culture,group,1005,-1.1,-1.5
Income quintile 5 (high),HPIQ.SIQ509,2010/4,2010Q2,disq5,9,Recreation and culture,Recreation and culture,group,1022,-1,-0.3
Expenditure quintile 1 (low),HPIQ.SEQ109,2010/4,2010Q2,expq1,9,Recreation and culture,Recreation and culture,group,950,-0.1,0.5
Expenditure quintile 2,HPIQ.SEQ209,2010/4,2010Q2,expq2,9,Recreation and culture,Recreation and culture,group,997,-0.7,-1.2
Expenditure quintile 3,HPIQ.SEQ309,2010/4,2010Q2,expq3,9,Recreation and culture,Recreation and culture,group,1015,-0.8,-1.2
Expenditure quintile 4,HPIQ.SEQ409,2010/4,2010Q2,expq4,9,Recreation and culture,Recreation and culture,group,1031,-0.9,-0.9
Expenditure quintile 5 (high),HPIQ.SEQ509,2010/4,2010Q2,expq5,9,Recreation and culture,Recreation and culture,group,1012,-0.9,-0.2
M\u0101ori,HPIQ.SMAO09,2010/4,2010Q2,maori,9,Recreation and culture,Recreation and culture,group,1032,-1.1,-2.5
Superannuitant,HPIQ.SSUP09,2010/4,2010Q2,super,9,Recreation and culture,Recreation and culture,group,949,-0.7,0.7
All households,HPIQ.SALL091,2010/4,2010Q2,allhh,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1604,-5,-18.1
Beneficiary,HPIQ.SBEN091,2010/4,2010Q2,benef,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1634,-5.1,-17.6
Income quintile 1 (low),HPIQ.SIQ1091,2010/4,2010Q2,disq1,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1613,-6,-20.3
Income quintile 2,HPIQ.SIQ2091,2010/4,2010Q2,disq2,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1670,-4.2,-16.2
Income quintile 3,HPIQ.SIQ3091,2010/4,2010Q2,disq3,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1599,-4.6,-17.6
Income quintile 4,HPIQ.SIQ4091,2010/4,2010Q2,disq4,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1530,-5.6,-18.7
Income quintile 5 (high),HPIQ.SIQ5091,2010/4,2010Q2,disq5,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1625,-5,-17.8
Expenditure quintile 1 (low),HPIQ.SEQ1091,2010/4,2010Q2,expq1,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1598,-5.2,-18.6
Expenditure quintile 2,HPIQ.SEQ2091,2010/4,2010Q2,expq2,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1686,-4.4,-18.3
Expenditure quintile 3,HPIQ.SEQ3091,2010/4,2010Q2,expq3,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1616,-5.2,-18.2
Expenditure quintile 4,HPIQ.SEQ4091,2010/4,2010Q2,expq4,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1553,-5.5,-18.3
Expenditure quintile 5 (high),HPIQ.SEQ5091,2010/4,2010Q2,expq5,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1585,-4.8,-17.6
M\u0101ori,HPIQ.SMAO091,2010/4,2010Q2,maori,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1607,-5.2,-18.8
Superannuitant,HPIQ.SSUP091,2010/4,2010Q2,super,9.1,Audio-visual and computing equipment,Audio-visual,subgroup,1749,-6.4,-22.1
All households,HPIQ.SALL092,2010/4,2010Q2,allhh,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,978,0.3,0
Beneficiary,HPIQ.SBEN092,2010/4,2010Q2,benef,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,1032,1.3,1
Income quintile 1 (low),HPIQ.SIQ1092,2010/4,2010Q2,disq1,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,946,0.9,1.1
Income quintile 2,HPIQ.SIQ2092,2010/4,2010Q2,disq2,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,1027,0,-0.5
Income quintile 3,HPIQ.SIQ3092,2010/4,2010Q2,disq3,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,1012,0,-0.4
Income quintile 4,HPIQ.SIQ4092,2010/4,2010Q2,disq4,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,1004,-0.4,-1.3
Income quintile 5 (high),HPIQ.SIQ5092,2010/4,2010Q2,disq5,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,954,0.5,0.1
Expenditure quintile 1 (low),HPIQ.SEQ1092,2010/4,2010Q2,expq1,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,994,0.5,0.4
Expenditure quintile 2,HPIQ.SEQ2092,2010/4,2010Q2,expq2,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,963,2.8,2.6
Expenditure quintile 3,HPIQ.SEQ3092,2010/4,2010Q2,expq3,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,984,-0.5,-0.9
Expenditure quintile 4,HPIQ.SEQ4092,2010/4,2010Q2,expq4,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,1003,-0.4,-1.3
Expenditure quintile 5 (high),HPIQ.SEQ5092,2010/4,2010Q2,expq5,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,976,0.5,0.4
M\u0101ori,HPIQ.SMAO092,2010/4,2010Q2,maori,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,1009,1,0.8
Superannuitant,HPIQ.SSUP092,2010/4,2010Q2,super,9.2,Major recreational and cultural equipment,Major recreational equip,subgroup,962,0.4,0.6
All households,HPIQ.SALL093,2010/4,2010Q2,allhh,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,996,0.3,2.3
Beneficiary,HPIQ.SBEN093,2010/4,2010Q2,benef,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,1011,1.1,3.1
Income quintile 1 (low),HPIQ.SIQ1093,2010/4,2010Q2,disq1,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,970,0.2,2.9
Income quintile 2,HPIQ.SIQ2093,2010/4,2010Q2,disq2,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,984,0,1.7
Income quintile 3,HPIQ.SIQ3093,2010/4,2010Q2,disq3,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,990,0.7,3
Income quintile 4,HPIQ.SIQ4093,2010/4,2010Q2,disq4,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,998,0.4,1.9
Income quintile 5 (high),HPIQ.SIQ5093,2010/4,2010Q2,disq5,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,1027,0.4,1.7
Expenditure quintile 1 (low),HPIQ.SEQ1093,2010/4,2010Q2,expq1,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,971,0.5,2.2
Expenditure quintile 2,HPIQ.SEQ2093,2010/4,2010Q2,expq2,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,977,0,1.9
Expenditure quintile 3,HPIQ.SEQ3093,2010/4,2010Q2,expq3,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,999,0.2,2.5
Expenditure quintile 4,HPIQ.SEQ4093,2010/4,2010Q2,expq4,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,1023,0.5,2.5
Expenditure quintile 5 (high),HPIQ.SEQ5093,2010/4,2010Q2,expq5,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,1004,0.6,2.3
M\u0101ori,HPIQ.SMAO093,2010/4,2010Q2,maori,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,1047,0.4,0.7
Superannuitant,HPIQ.SSUP093,2010/4,2010Q2,super,9.3,Other recreational equipment and supplies,Other recreational equip,subgroup,940,0.3,4
All households,HPIQ.SALL094,2010/4,2010Q2,allhh,9.4,Recreational and cultural services,Rec & cultural services,subgroup,903,0.2,2.3
Beneficiary,HPIQ.SBEN094,2010/4,2010Q2,benef,9.4,Recreational and cultural services,Rec & cultural services,subgroup,903,0.2,2.6
Income quintile 1 (low),HPIQ.SIQ1094,2010/4,2010Q2,disq1,9.4,Recreational and cultural services,Rec & cultural services,subgroup,895,0.2,2.4
Income quintile 2,HPIQ.SIQ2094,2010/4,2010Q2,disq2,9.4,Recreational and cultural services,Rec & cultural services,subgroup,906,-0.1,1.9
Income quintile 3,HPIQ.SIQ3094,2010/4,2010Q2,disq3,9.4,Recreational and cultural services,Rec & cultural services,subgroup,910,0.4,2.6
Income quintile 4,HPIQ.SIQ4094,2010/4,2010Q2,disq4,9.4,Recreational and cultural services,Rec & cultural services,subgroup,902,0.2,2.2
Income quintile 5 (high),HPIQ.SIQ5094,2010/4,2010Q2,disq5,9.4,Recreational and cultural services,Rec & cultural services,subgroup,903,0.4,2.3
Expenditure quintile 1 (low),HPIQ.SEQ1094,2010/4,2010Q2,expq1,9.4,Recreational and cultural services,Rec & cultural services,subgroup,894,0.4,2.8
Expenditure quintile 2,HPIQ.SEQ2094,2010/4,2010Q2,expq2,9.4,Recreational and cultural services,Rec & cultural services,subgroup,900,0,1.9
Expenditure quintile 3,HPIQ.SEQ3094,2010/4,2010Q2,expq3,9.4,Recreational and cultural services,Rec & cultural services,subgroup,912,0.2,2.2
Expenditure quintile 4,HPIQ.SEQ4094,2010/4,2010Q2,expq4,9.4,Recreational and cultural services,Rec & cultural services,subgroup,905,0.3,2.1
Expenditure quintile 5 (high),HPIQ.SEQ5094,2010/4,2010Q2,expq5,9.4,Recreational and cultural services,Rec & cultural services,subgroup,904,0.3,2.4
M\u0101ori,HPIQ.SMAO094,2010/4,2010Q2,maori,9.4,Recreational and cultural services,Rec & cultural services,subgroup,904,0,2.1
Superannuitant,HPIQ.SSUP094,2010/4,2010Q2,super,9.4,Recreational and cultural services,Rec & cultural services,subgroup,896,0.1,2.2
All households,HPIQ.SALL095,2010/4,2010Q2,allhh,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,842,1.1,1
Beneficiary,HPIQ.SBEN095,2010/4,2010Q2,benef,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,848,0.5,1.3
Income quintile 1 (low),HPIQ.SIQ1095,2010/4,2010Q2,disq1,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,831,1.3,1.2
Income quintile 2,HPIQ.SIQ2095,2010/4,2010Q2,disq2,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,811,0.4,0.2
Income quintile 3,HPIQ.SIQ3095,2010/4,2010Q2,disq3,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,892,2.1,1.7
Income quintile 4,HPIQ.SIQ4095,2010/4,2010Q2,disq4,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,836,1.5,0.8
Income quintile 5 (high),HPIQ.SIQ5095,2010/4,2010Q2,disq5,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,848,0.4,1.1
Expenditure quintile 1 (low),HPIQ.SEQ1095,2010/4,2010Q2,expq1,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,796,0.9,2.3
Expenditure quintile 2,HPIQ.SEQ2095,2010/4,2010Q2,expq2,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,820,0.7,0.5
Expenditure quintile 3,HPIQ.SEQ3095,2010/4,2010Q2,expq3,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,863,1.2,0.3
Expenditure quintile 4,HPIQ.SEQ4095,2010/4,2010Q2,expq4,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,887,1.8,1.4
Expenditure quintile 5 (high),HPIQ.SEQ5095,2010/4,2010Q2,expq5,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,841,0.2,0.4
M\u0101ori,HPIQ.SMAO095,2010/4,2010Q2,maori,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,862,0.3,0.1
Superannuitant,HPIQ.SSUP095,2010/4,2010Q2,super,9.5,"Newspapers, books and stationery",Newspapers & books,subgroup,777,0,1.6
All households,HPIQ.SALL096,2010/4,2010Q2,allhh,9.6,Accommodation services,Accomodation,subgroup,905,-5.2,0.4
Beneficiary,HPIQ.SBEN096,2010/4,2010Q2,benef,9.6,Accommodation services,Accomodation,subgroup,897,-5.2,0.6
Income quintile 1 (low),HPIQ.SIQ1096,2010/4,2010Q2,disq1,9.6,Accommodation services,Accomodation,subgroup,898,-5.4,0.1
Income quintile 2,HPIQ.SIQ2096,2010/4,2010Q2,disq2,9.6,Accommodation services,Accomodation,subgroup,898,-5.2,1
Income quintile 3,HPIQ.SIQ3096,2010/4,2010Q2,disq3,9.6,Accommodation services,Accomodation,subgroup,913,-5,0.7
Income quintile 4,HPIQ.SIQ4096,2010/4,2010Q2,disq4,9.6,Accommodation services,Accomodation,subgroup,897,-5.1,1.2
Income quintile 5 (high),HPIQ.SIQ5096,2010/4,2010Q2,disq5,9.6,Accommodation services,Accomodation,subgroup,909,-5.4,-0.2
Expenditure quintile 1 (low),HPIQ.SEQ1096,2010/4,2010Q2,expq1,9.6,Accommodation services,Accomodation,subgroup,886,-5.5,0.7
Expenditure quintile 2,HPIQ.SEQ2096,2010/4,2010Q2,expq2,9.6,Accommodation services,Accomodation,subgroup,891,-4.9,1.7
Expenditure quintile 3,HPIQ.SEQ3096,2010/4,2010Q2,expq3,9.6,Accommodation services,Accomodation,subgroup,905,-5.4,0.1
Expenditure quintile 4,HPIQ.SEQ4096,2010/4,2010Q2,expq4,9.6,Accommodation services,Accomodation,subgroup,918,-5.3,0
Expenditure quintile 5 (high),HPIQ.SEQ5096,2010/4,2010Q2,expq5,9.6,Accommodation services,Accomodation,subgroup,904,-5.2,0.3
M\u0101ori,HPIQ.SMAO096,2010/4,2010Q2,maori,9.6,Accommodation services,Accomodation,subgroup,907,-5,0.8
Superannuitant,HPIQ.SSUP096,2010/4,2010Q2,super,9.6,Accommodation services,Accomodation,subgroup,916,-5.6,-0.1
All households,HPIQ.SALL097,2010/4,2010Q2,allhh,9.7,Package holidays,Package holidays,subgroup,1029,-1,12
Beneficiary,HPIQ.SBEN097,2010/4,2010Q2,benef,9.7,Package holidays,Package holidays,subgroup,1040,-0.6,12.3
Income quintile 1 (low),HPIQ.SIQ1097,2010/4,2010Q2,disq1,9.7,Package holidays,Package holidays,subgroup,973,-0.7,12.2
Income quintile 2,HPIQ.SIQ2097,2010/4,2010Q2,disq2,9.7,Package holidays,Package holidays,subgroup,1052,-2.7,10.3
Income quintile 3,HPIQ.SIQ3097,2010/4,2010Q2,disq3,9.7,Package holidays,Package holidays,subgroup,1035,0,12.9
Income quintile 4,HPIQ.SIQ4097,2010/4,2010Q2,disq4,9.7,Package holidays,Package holidays,subgroup,1029,-1.7,11.2
Income quintile 5 (high),HPIQ.SIQ5097,2010/4,2010Q2,disq5,9.7,Package holidays,Package holidays,subgroup,1030,-0.4,12.6
Expenditure quintile 1 (low),HPIQ.SEQ1097,2010/4,2010Q2,expq1,9.7,Package holidays,Package holidays,subgroup,1013,-2,10.8
Expenditure quintile 2,HPIQ.SEQ2097,2010/4,2010Q2,expq2,9.7,Package holidays,Package holidays,subgroup,991,0,12.9
Expenditure quintile 3,HPIQ.SEQ3097,2010/4,2010Q2,expq3,9.7,Package holidays,Package holidays,subgroup,1043,-1.3,11.6
Expenditure quintile 4,HPIQ.SEQ4097,2010/4,2010Q2,expq4,9.7,Package holidays,Package holidays,subgroup,1032,-1.6,11.3
Expenditure quintile 5 (high),HPIQ.SEQ5097,2010/4,2010Q2,expq5,9.7,Package holidays,Package holidays,subgroup,1034,-0.4,12.5
M\u0101ori,HPIQ.SMAO097,2010/4,2010Q2,maori,9.7,Package holidays,Package holidays,subgroup,1049,-2.2,10.8
Superannuitant,HPIQ.SSUP097,2010/4,2010Q2,super,9.7,Package holidays,Package holidays,subgroup,1014,-1.1,11.9
All households,HPIQ.SALL10,2010/4,2010Q2,allhh,10,Education,Education,group,846,0.1,4.4
Beneficiary,HPIQ.SBEN10,2010/4,2010Q2,benef,10,Education,Education,group,850,0,4.3
Income quintile 1 (low),HPIQ.SIQ110,2010/4,2010Q2,disq1,10,Education,Education,group,839,0,5.7
Income quintile 2,HPIQ.SIQ210,2010/4,2010Q2,disq2,10,Education,Education,group,852,0.1,3.9
Income quintile 3,HPIQ.SIQ310,2010/4,2010Q2,disq3,10,Education,Education,group,850,0.1,3.8
Income quintile 4,HPIQ.SIQ410,2010/4,2010Q2,disq4,10,Education,Education,group,846,0.2,4.6
Income quintile 5 (high),HPIQ.SIQ510,2010/4,2010Q2,disq5,10,Education,Education,group,842,0.1,4.9
Expenditure quintile 1 (low),HPIQ.SEQ110,2010/4,2010Q2,expq1,10,Education,Education,group,858,0,3.1
Expenditure quintile 2,HPIQ.SEQ210,2010/4,2010Q2,expq2,10,Education,Education,group,842,0.1,4.6
Expenditure quintile 3,HPIQ.SEQ310,2010/4,2010Q2,expq3,10,Education,Education,group,850,0.1,4.3
Expenditure quintile 4,HPIQ.SEQ410,2010/4,2010Q2,expq4,10,Education,Education,group,843,0.1,4.7
Expenditure quintile 5 (high),HPIQ.SEQ510,2010/4,2010Q2,expq5,10,Education,Education,group,841,0,4.7
M\u0101ori,HPIQ.SMAO10,2010/4,2010Q2,maori,10,Education,Education,group,853,0.1,3.9
Superannuitant,HPIQ.SSUP10,2010/4,2010Q2,super,10,Education,Education,group,868,0,2.7
All households,HPIQ.SALL101,2010/4,2010Q2,allhh,10.1,Early childhood education,Early childhood education,subgroup,818,0.5,1.7
Beneficiary,HPIQ.SBEN101,2010/4,2010Q2,benef,10.1,Early childhood education,Early childhood education,subgroup,751,-0.3,-0.3
Income quintile 1 (low),HPIQ.SIQ1101,2010/4,2010Q2,disq1,10.1,Early childhood education,Early childhood education,subgroup,701,-0.7,-1.4
Income quintile 2,HPIQ.SIQ2101,2010/4,2010Q2,disq2,10.1,Early childhood education,Early childhood education,subgroup,786,0.4,1.4
Income quintile 3,HPIQ.SIQ3101,2010/4,2010Q2,disq3,10.1,Early childhood education,Early childhood education,subgroup,825,0.6,2.1
Income quintile 4,HPIQ.SIQ4101,2010/4,2010Q2,disq4,10.1,Early childhood education,Early childhood education,subgroup,827,0.9,2.2
Income quintile 5 (high),HPIQ.SIQ5101,2010/4,2010Q2,disq5,10.1,Early childhood education,Early childhood education,subgroup,821,0.5,1.6
Expenditure quintile 1 (low),HPIQ.SEQ1101,2010/4,2010Q2,expq1,10.1,Early childhood education,Early childhood education,subgroup,754,-0.3,-0.3
Expenditure quintile 2,HPIQ.SEQ2101,2010/4,2010Q2,expq2,10.1,Early childhood education,Early childhood education,subgroup,795,0.4,1.3
